AmaPath第一階層	AmaPath第二階層	WowPath第一階層	WowPath第二階層
Health & Household	Health Care	ダイエット・健康	健康グッズ
Health & Household	Household Supplies	日用品・文房具・手芸用品	日用品・生活雑貨
Health & Household	Vitamins, Minerals & Supplements	ダイエット・健康	サプリメント
Health & Household	Sexual Wellness	医療・介護・医薬品	避妊具
Health & Household	Diet & Sports Nutrition	ダイエット・健康	ダイエット
Health & Household	Baby & Child Care	キッズベビー・マタニティ	ベビー
Health & Household	Oral Care	ダイエット・健康	デンタルケア
Health & Household	Wellness & Relaxation	ダイエット・健康	リラックス・マッサージ用品
Health & Household	Vision	コンタクトレンズ・カラコン	コンタクトレンズ
# Arts, Crafts & Sewing → 日用品・文房具・手芸用品/おもちゃ・趣味
Arts, Crafts & Sewing	Crafting	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Sewing	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Painting, Drawing & Art Supplies	日用品・文房具・手芸用品	文房具・事務用品・画材
Arts, Crafts & Sewing	Model & Hobby Building	おもちゃ・趣味	模型・プラモデル
Arts, Crafts & Sewing	Beading & Jewelry Making	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Scrapbooking & Stamping	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Needlework	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Printmaking	日用品・文房具・手芸用品	文房具・事務用品・画材
Arts, Crafts & Sewing	Party Decorations & Supplies	おもちゃ・趣味	パーティーグッズ
Arts, Crafts & Sewing	Knitting & Crochet	日用品・文房具・手芸用品	手芸・クラフト・生地
Arts, Crafts & Sewing	Fabric	日用品・文房具・手芸用品	手芸・クラフト・生地
# Clothing, Shoes & Jewelry → ファッション関連
Clothing, Shoes & Jewelry	Women	レディースファッション	トップス
Clothing, Shoes & Jewelry	Men	メンズファッション	トップス
Clothing, Shoes & Jewelry	Girls	キッズベビー・マタニティ	キッズ
Clothing, Shoes & Jewelry	Boys	キッズベビー・マタニティ	キッズ
Clothing, Shoes & Jewelry	Baby	キッズベビー・マタニティ	ベビー
Clothing, Shoes & Jewelry	Sport Specific Clothing	スポーツ・アウトドア	スポーツウェア
Clothing, Shoes & Jewelry	Novelty & More	レディースファッション	コスチューム
Clothing, Shoes & Jewelry	Traditional & Cultural Wear	レディースファッション	和装・和服
Clothing, Shoes & Jewelry	Uniforms, Work & Safety	メンズファッション	作業服
Clothing, Shoes & Jewelry	Costumes & Accessories	レディースファッション	コスチューム
Clothing, Shoes & Jewelry	Shoe, Jewelry & Watch Accessories	アクセサリー・ジュエリー	その他アクセサリー・ジュエリー
Clothing, Shoes & Jewelry	Luggage & Travel Gear	バッグ・財布・ファッション小物	バッグ
# Home & Kitchen → インテリア・寝具/キッチン
Home & Kitchen	Kitchen & Dining	キッチン・食器・調理	キッチン用品・キッチン雑貨
Home & Kitchen	Bedding	インテリア・寝具	寝具
Home & Kitchen	Bath	日用品・文房具・手芸用品	バス・お風呂用品
Home & Kitchen	Furniture	インテリア・寝具	収納家具
Home & Kitchen	Home Décor	インテリア・寝具	インテリア小物・置物
Home & Kitchen	Lighting & Ceiling Fans	インテリア・寝具	ライト・照明
Home & Kitchen	Storage & Organization	インテリア・寝具	収納家具
Home & Kitchen	Cleaning Supplies	日用品・文房具・手芸用品	掃除用具
# Toys & Games → おもちゃ・趣味/ゲーム
Toys & Games	Games & Accessories	おもちゃ・趣味	ボードゲーム
Toys & Games	Building Toys	おもちゃ・趣味	おもちゃ
Toys & Games	Puzzles	おもちゃ・趣味	パズル
Toys & Games	Dolls & Accessories	おもちゃ・趣味	おもちゃ
Toys & Games	Arts & Crafts	おもちゃ・趣味	お絵かき・ねんど・シール
Toys & Games	Learning & Education	おもちゃ・趣味	知育玩具・教育玩具
Toys & Games	Stuffed Animals & Plush Toys	おもちゃ・趣味	おもちゃ
Toys & Games	Action Figures & Statues	おもちゃ・趣味	フィギュア
Toys & Games	Toy Remote Control & Play Vehicles	おもちゃ・趣味	ラジコン
Toys & Games	Collectible Toys	おもちゃ・趣味	コレクション
Toys & Games	Sports & Outdoor Play	おもちゃ・趣味	大型遊具
Toys & Games	Kids' Electronics	おもちゃ・趣味	おもちゃ
Toys & Games	Novelty & Gag Toys	おもちゃ・趣味	パーティーグッズ
# Video Games → ゲーム機・ゲームソフト
Video Games	PlayStation 5	ゲーム機・ゲームソフト	PlayStation 5
Video Games	PlayStation 4	ゲーム機・ゲームソフト	PlayStation 4
Video Games	Nintendo Switch	ゲーム機・ゲームソフト	Nintendo Switch
Video Games	Xbox Series X & S	ゲーム機・ゲームソフト	Xbox Series S/X
Video Games	PC	ゲーム機・ゲームソフト	PCゲーム
Video Games	Accessories	ゲーム機・ゲームソフト	旧世代ゲーム機
Video Games	Legacy Systems	ゲーム機・ゲームソフト	旧世代ゲーム機
# Tools & Home Improvement → 花・ガーデン・DIY工具
Tools & Home Improvement	Power & Hand Tools	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Hardware	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Electrical	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Plumbing	花・ガーデン・DIY工具	建築・住宅・設備
Tools & Home Improvement	Building Supplies	花・ガーデン・DIY工具	建築・住宅・設備
Tools & Home Improvement	Painting Supplies & Wall Treatments	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Safety & Security	日用品・文房具・手芸用品	防犯・護身用品
Tools & Home Improvement	Lighting & Ceiling Fans	インテリア・寝具	ライト・照明
# Patio, Lawn & Garden → 花・ガーデン・DIY工具
Patio, Lawn & Garden	Gardening & Lawn Care	花・ガーデン・DIY工具	ガーデニング
Patio, Lawn & Garden	Plants, Seeds & Bulbs	花・ガーデン・DIY工具	花・観葉植物・盆栽
Patio, Lawn & Garden	Outdoor Décor	花・ガーデン・DIY工具	エクステリア
Patio, Lawn & Garden	Patio Furniture & Accessories	花・ガーデン・DIY工具	エクステリア
Patio, Lawn & Garden	Outdoor Power Tools	花・ガーデン・DIY工具	DIY工具
Patio, Lawn & Garden	Grills & Outdoor Cooking	キッチン・食器・調理	調理道具・下ごしらえ用品
# Pet Supplies → ペット・ペットグッズ
Pet Supplies	Dogs	ペット・ペットグッズ	犬用品・ドッグフード
Pet Supplies	Cats	ペット・ペットグッズ	猫用品・キャットフード
Pet Supplies	Fish & Aquatic Pets	ペット・ペットグッズ	熱帯魚・アクアリウム用品
Pet Supplies	Birds	ペット・ペットグッズ	小動物・鳥用品
Pet Supplies	Small Animals	ペット・ペットグッズ	小動物・鳥用品
Pet Supplies	Reptiles & Amphibians	ペット・ペットグッズ	爬虫類・両生類用品
# Industrial & Scientific → 複数カテゴリ
Industrial & Scientific	Lab & Scientific Products	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Industrial Electrical	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Janitorial & Sanitation Supplies	日用品・文房具・手芸用品	掃除用具
Industrial & Scientific	Occupational Health & Safety Products	医療・介護・医薬品	衛生医療品
Industrial & Scientific	Material Handling Products	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Food Service Equipment & Supplies	キッチン・食器・調理	業務用厨房機器
# Books → 本・コミック・雑誌
Books	Children's Books	本・コミック・雑誌	絵本・児童書
Books	Arts & Photography	本・コミック・雑誌	アート・建築・デザイン
Books	Crafts, Hobbies & Home	本・コミック・雑誌	趣味・ホビー
Books	Science & Math	本・コミック・雑誌	科学・テクノロジー
Books	Computers & Technology	本・コミック・雑誌	コンピュータ・IT
Books	Health, Fitness & Dieting	本・コミック・雑誌	美容・健康・料理・子育て
Books	Business & Money	本・コミック・雑誌	ビジネス・経済
Books	Cookbooks, Food & Wine	本・コミック・雑誌	美容・健康・料理・子育て
Books	Comics & Graphic Novels	本・コミック・雑誌	コミック・ライトノベル
Books	Travel	本・コミック・雑誌	旅行・留学・海外赴任
Books	Teen & Young Adult	本・コミック・雑誌	小説・文芸・エッセイ
Books	History	本・コミック・雑誌	歴史・地理
Books	Religion & Spirituality	本・コミック・雑誌	人文・思想
Books	Medical Books	本・コミック・雑誌	医学・薬学・看護学・歯科学
Books	Education & Teaching	本・コミック・雑誌	教育・学参・受験
Books	Science Fiction & Fantasy	本・コミック・雑誌	小説・文芸・エッセイ
Books	Engineering & Transportation	本・コミック・雑誌	科学・テクノロジー
Books	Politics & Social Sciences	本・コミック・雑誌	社会・政治
Books	Biographies & Memoirs	本・コミック・雑誌	ノンフィクション
Books	Self-Help	本・コミック・雑誌	暮らし・実用
Books	Reference	本・コミック・雑誌	語学・辞事典・年鑑
Books	Mystery, Thriller & Suspense	本・コミック・雑誌	小説・文芸・エッセイ
Books	Romance	本・コミック・雑誌	小説・文芸・エッセイ
Books	LGBTQ+ Books	本・コミック・雑誌	小説・文芸・エッセイ
Books	Parenting & Relationships	本・コミック・雑誌	美容・健康・料理・子育て
# Sports & Outdoors 詳細マッピング（第3階層対応）
Sports & Outdoors	Clothing	スポーツ・アウトドア	スポーツウェア
Sports & Outdoors	Memorabilia Display & Storage	おもちゃ・趣味	コレクション
Sports & Outdoors	Sports & Outdoor Recreation Accessories	スポーツ・アウトドア	体育館・グラウンド用品
# Hunting & Fishing 詳細（L3: Fishing, Hunting, Archery, Shooting）
# Note: level3はmatch_categories.pyでは直接参照しないが、
# Hunting & Fishing全体をフィッシングにマッピングしているため問題なし
# 以下は追加マッピング（重複しても最初にマッチしたものが使われる）
# Outdoor Recreation 詳細
Sports & Outdoors	Water Sports	スポーツ・アウトドア	マリンスポーツ
Sports & Outdoors	Winter Sports	スポーツ・アウトドア	ウィンタースポーツ
Sports & Outdoors	Climbing	スポーツ・アウトドア	アウトドア
# Exercise & Fitness 詳細
Sports & Outdoors	Yoga	ダイエット・健康	ヨガ・ピラティス
Sports & Outdoors	Pilates	ダイエット・健康	ヨガ・ピラティス
Sports & Outdoors	Strength Training Equipment	ダイエット・健康	ダイエット
Sports & Outdoors	Cardio Training	ダイエット・健康	ダイエット
Sports & Outdoors	Running	スポーツ・アウトドア	陸上・トラック競技
# Sports 詳細
Sports & Outdoors	Team Sports	スポーツ・アウトドア	その他のスポーツ
Sports & Outdoors	Golf	スポーツ・アウトドア	ゴルフ
Sports & Outdoors	Airsoft	おもちゃ・趣味	サバイバルゲーム
Sports & Outdoors	Boating & Sailing	スポーツ・アウトドア	マリンスポーツ
Sports & Outdoors	Skates, Skateboards & Scooters	スポーツ・アウトドア	スケートボード
Sports & Outdoors	Leisure Sports & Game Room	おもちゃ・趣味	ダーツ
Sports & Outdoors	Other Sports	スポーツ・アウトドア	その他のスポーツ
Sports & Outdoors	Triathlon	スポーツ・アウトドア	陸上・トラック競技
# 追加マッピング（未マッピングの主要カテゴリ）
# Office Products
Office Products	Office & School Supplies	日用品・文房具・手芸用品	文房具・事務用品・画材
Office Products	Office Furniture & Lighting	インテリア・寝具	オフィス家具
# Industrial & Scientific 追加
Industrial & Scientific	Professional Dental Supplies	医療・介護・医薬品	衛生医療品
Industrial & Scientific	Professional Medical Supplies	医療・介護・医薬品	衛生医療品
Industrial & Scientific	Hydraulics, Pneumatics & Plumbing	花・ガーデン・DIY工具	建築・住宅・設備
Industrial & Scientific	Power Transmission Products	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Test, Measure & Inspect	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Raw Materials	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Cutting Tools	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Industrial Hardware	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Commercial Door Products	花・ガーデン・DIY工具	建築・住宅・設備
Industrial & Scientific	Adhesives, Sealants & Lubricants	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Retail Store Fixtures & Equipment	花・ガーデン・DIY工具	DIY工具
Industrial & Scientific	Filtration	花・ガーデン・DIY工具	DIY工具
# Home & Kitchen 追加
Home & Kitchen	Home Décor Products	インテリア・寝具	インテリア小物・置物
Home & Kitchen	Heating, Cooling & Air Quality	家電	エアコン
Home & Kitchen	Event & Party Supplies	おもちゃ・趣味	パーティーグッズ
# Tools & Home Improvement 追加
Tools & Home Improvement	Appliances	家電	キッチン家電
Tools & Home Improvement	Kitchen & Bath Fixtures	花・ガーデン・DIY工具	建築・住宅・設備
Tools & Home Improvement	Paint, Wall Treatments & Supplies	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Welding & Soldering	花・ガーデン・DIY工具	DIY工具
# Patio, Lawn & Garden 追加
Patio, Lawn & Garden	Farm & Ranch	花・ガーデン・DIY工具	ガーデニング
Patio, Lawn & Garden	Pools, Hot Tubs & Supplies	花・ガーデン・DIY工具	エクステリア
# Toys & Games 追加
Toys & Games	Remote & App Controlled Vehicles & Parts	おもちゃ・趣味	ラジコン
Toys & Games	Dress Up & Pretend Play	おもちゃ・趣味	おもちゃ
# Video Games 追加
Video Games	Xbox One	ゲーム機・ゲームソフト	Xbox One
Video Games	PlayStation 3	ゲーム機・ゲームソフト	PlayStation 3
Video Games	Wii & Wii U	ゲーム機・ゲームソフト	Wii U
Video Games	Nintendo 3DS & 2DS	ゲーム機・ゲームソフト	Nintendo 3DS・2DS
Video Games	PlayStation Vita	ゲーム機・ゲームソフト	PlayStation Vita
Video Games	Mac	ゲーム機・ゲームソフト	PCゲーム
Video Games	Digital Games	ゲーム機・ゲームソフト	ダウンロードソフト
Video Games	Kids & Family	ゲーム機・ゲームソフト	キッズ向けゲーム
Video Games	Retro Gaming & Microconsoles	ゲーム機・ゲームソフト	旧世代ゲーム機
Video Games	Virtual Reality	ゲーム機・ゲームソフト	VRゲーム
Video Games	Gaming Chairs	ゲーム機・ゲームソフト	ゲーミングチェア
Video Games	Headsets	ゲーム機・ゲームソフト	ゲーミングヘッドセット
Video Games	Controllers	ゲーム機・ゲームソフト	コントローラー
Video Games	Cables & Adapters	ゲーム機・ゲームソフト	ゲーム周辺機器
# Pet Supplies 追加
Pet Supplies	Horses	ペット・ペットグッズ	小動物・鳥用品
# Musical Instruments 追加
Musical Instruments	Band & Orchestra	楽器・音響機器	管楽器
# Jewelry 追加
Jewelry	Women	アクセサリー・ジュエリー	ネックレス
Jewelry	Novelty & More	アクセサリー・ジュエリー	その他アクセサリー・ジュエリー
# Watches → 腕時計
Watches	Men	腕時計	メンズ腕時計
Watches	Women	腕時計	レディース腕時計
Watches	Boys	腕時計	キッズ腕時計
Watches	Girls	腕時計	キッズ腕時計
# ============================================================
# Electronics L3 詳細マッピング
# ============================================================
# Camera & Photo 詳細
Electronics	Digital Cameras	テレビ・オーディオ・カメラ	デジタルカメラ
Electronics	DSLR Cameras	テレビ・オーディオ・カメラ	デジタル一眼カメラ
Electronics	Mirrorless Cameras	テレビ・オーディオ・カメラ	ミラーレス一眼
Electronics	Camcorders	テレビ・オーディオ・カメラ	ビデオカメラ
Electronics	Lenses	テレビ・オーディオ・カメラ	カメラ用交換レンズ
Electronics	Tripods & Monopods	テレビ・オーディオ・カメラ	カメラアクセサリー
Electronics	Flashes	テレビ・オーディオ・カメラ	ストロボ・フラッシュ
Electronics	Camera Bags & Cases	テレビ・オーディオ・カメラ	カメラバッグ
Electronics	Film Photography	テレビ・オーディオ・カメラ	フィルムカメラ
Electronics	Binoculars & Scopes	テレビ・オーディオ・カメラ	双眼鏡・望遠鏡
# Home Audio 詳細
Electronics	Speakers	テレビ・オーディオ・カメラ	スピーカー
Electronics	Receivers & Amplifiers	テレビ・オーディオ・カメラ	オーディオアンプ
Electronics	Soundbars	テレビ・オーディオ・カメラ	サウンドバー・シアターバー
Electronics	Turntables & Accessories	テレビ・オーディオ・カメラ	レコードプレーヤー
Electronics	CD Players	テレビ・オーディオ・カメラ	オーディオ
Electronics	Bluetooth & Wireless Speakers	テレビ・オーディオ・カメラ	Bluetoothスピーカー
# Television & Video 詳細
Electronics	TVs	テレビ・オーディオ・カメラ	テレビ本体
Electronics	Projectors	テレビ・オーディオ・カメラ	プロジェクター
Electronics	Streaming Media Players	テレビ・オーディオ・カメラ	メディアストリーミング端末
Electronics	DVD & Blu-ray Players	テレビ・オーディオ・カメラ	ブルーレイ・DVDプレーヤー
Electronics	Home Theater Systems	テレビ・オーディオ・カメラ	ホームシアターシステム
Electronics	TV Mounts & Stands	テレビ・オーディオ・カメラ	テレビアクセサリー
# Portable Audio & Video 詳細
Electronics	MP3 & MP4 Players	テレビ・オーディオ・カメラ	デジタルオーディオプレーヤー
Electronics	Portable Speakers	テレビ・オーディオ・カメラ	Bluetoothスピーカー
Electronics	Digital Voice Recorders	テレビ・オーディオ・カメラ	ICレコーダー
Electronics	Radios	テレビ・オーディオ・カメラ	ラジオ
# Headphones 詳細
Electronics	Over-Ear Headphones	テレビ・オーディオ・カメラ	ヘッドホン
Electronics	On-Ear Headphones	テレビ・オーディオ・カメラ	ヘッドホン
Electronics	In-Ear Headphones	テレビ・オーディオ・カメラ	イヤホン
Electronics	Earbuds	テレビ・オーディオ・カメラ	イヤホン
Electronics	Wireless Headphones	テレビ・オーディオ・カメラ	ワイヤレスヘッドホン
Electronics	Noise Cancelling Headphones	テレビ・オーディオ・カメラ	ノイズキャンセリングヘッドホン
# Cell Phones & Accessories 詳細
Electronics	Cell Phone Cases	スマホ・タブレット・モバイル通信	スマホケース
Electronics	Screen Protectors	スマホ・タブレット・モバイル通信	スマホフィルム
Electronics	Chargers & Power Adapters	スマホ・タブレット・モバイル通信	スマホ充電器
Electronics	Portable Chargers	スマホ・タブレット・モバイル通信	モバイルバッテリー
Electronics	Power Banks	スマホ・タブレット・モバイル通信	モバイルバッテリー
Electronics	SIM Cards	スマホ・タブレット・モバイル通信	SIMカード
Electronics	Cell Phone Stands	スマホ・タブレット・モバイル通信	スマホスタンド
# Computers & Accessories 詳細
Electronics	Monitors	パソコン・PC周辺機器	ディスプレイ・モニター
Electronics	Keyboards	パソコン・PC周辺機器	キーボード
Electronics	Mice	パソコン・PC周辺機器	マウス
Electronics	Computer Speakers	パソコン・PC周辺機器	PCスピーカー
Electronics	Webcams	パソコン・PC周辺機器	Webカメラ
Electronics	External Hard Drives	パソコン・PC周辺機器	外付けHDD・ポータブルHDD
Electronics	USB Flash Drives	パソコン・PC周辺機器	USBメモリ
Electronics	Memory Cards	パソコン・PC周辺機器	SDカード・メモリーカード
Electronics	Internal Hard Drives	パソコン・PC周辺機器	内蔵HDD
Electronics	SSDs	パソコン・PC周辺機器	内蔵SSD
Electronics	RAM	パソコン・PC周辺機器	メモリ
Electronics	Graphics Cards	パソコン・PC周辺機器	グラフィックボード
Electronics	Computer Components	パソコン・PC周辺機器	PCパーツ
Electronics	Printers	パソコン・PC周辺機器	プリンタ・複合機
Electronics	Scanners	パソコン・PC周辺機器	スキャナー
Electronics	Routers	パソコン・PC周辺機器	ルーター
Electronics	Networking Devices	パソコン・PC周辺機器	ネットワーク機器
Electronics	Laptop Bags & Cases	パソコン・PC周辺機器	PCバッグ・ケース
Electronics	Laptop Stands	パソコン・PC周辺機器	PCスタンド
Electronics	Docking Stations	パソコン・PC周辺機器	ドッキングステーション
Electronics	USB Hubs	パソコン・PC周辺機器	USBハブ
Electronics	Cables & Adapters	パソコン・PC周辺機器	接続ケーブル
# ============================================================
# Clothing, Shoes & Jewelry L3 詳細マッピング
# ============================================================
# Women 詳細
Clothing, Shoes & Jewelry	Tops	レディースファッション	トップス
Clothing, Shoes & Jewelry	Blouses	レディースファッション	シャツ・ブラウス
Clothing, Shoes & Jewelry	T-Shirts	レディースファッション	Tシャツ・カットソー
Clothing, Shoes & Jewelry	Sweaters	レディースファッション	ニット・セーター
Clothing, Shoes & Jewelry	Dresses	レディースファッション	ワンピース
Clothing, Shoes & Jewelry	Skirts	レディースファッション	スカート
Clothing, Shoes & Jewelry	Pants	レディースファッション	パンツ
Clothing, Shoes & Jewelry	Jeans	レディースファッション	パンツ
Clothing, Shoes & Jewelry	Shorts	レディースファッション	パンツ
Clothing, Shoes & Jewelry	Coats & Jackets	レディースファッション	コート・ジャケット
Clothing, Shoes & Jewelry	Blazers	レディースファッション	スーツ・セットアップ
Clothing, Shoes & Jewelry	Suits	レディースファッション	スーツ・セットアップ
Clothing, Shoes & Jewelry	Activewear	レディースファッション	スポーツウェア
Clothing, Shoes & Jewelry	Swimwear	レディースファッション	水着
Clothing, Shoes & Jewelry	Sleepwear & Loungewear	インナー・ルームウェア	パジャマ・ルームウェア
Clothing, Shoes & Jewelry	Lingerie & Underwear	インナー・ルームウェア	インナー・下着
Clothing, Shoes & Jewelry	Bras	インナー・ルームウェア	ブラジャー
Clothing, Shoes & Jewelry	Panties	インナー・ルームウェア	ショーツ
Clothing, Shoes & Jewelry	Socks & Hosiery	レディースファッション	靴下・レッグウェア
# Shoes 詳細
Clothing, Shoes & Jewelry	Athletic Shoes	レディースファッション	スニーカー
Clothing, Shoes & Jewelry	Sneakers	レディースファッション	スニーカー
Clothing, Shoes & Jewelry	Boots	レディースファッション	ブーツ
Clothing, Shoes & Jewelry	Heels	レディースファッション	パンプス
Clothing, Shoes & Jewelry	Pumps	レディースファッション	パンプス
Clothing, Shoes & Jewelry	Flats	レディースファッション	フラットシューズ
Clothing, Shoes & Jewelry	Sandals	レディースファッション	サンダル
Clothing, Shoes & Jewelry	Slippers	インナー・ルームウェア	ルームシューズ
# Jewelry 詳細
Clothing, Shoes & Jewelry	Necklaces	アクセサリー・ジュエリー	ネックレス
Clothing, Shoes & Jewelry	Bracelets	アクセサリー・ジュエリー	ブレスレット
Clothing, Shoes & Jewelry	Earrings	アクセサリー・ジュエリー	ピアス・イヤリング
Clothing, Shoes & Jewelry	Rings	アクセサリー・ジュエリー	リング・指輪
Clothing, Shoes & Jewelry	Pendants	アクセサリー・ジュエリー	ペンダント
Clothing, Shoes & Jewelry	Charms	アクセサリー・ジュエリー	チャーム
# Accessories 詳細
Clothing, Shoes & Jewelry	Handbags	バッグ・財布・ファッション小物	ハンドバッグ
Clothing, Shoes & Jewelry	Shoulder Bags	バッグ・財布・ファッション小物	ショルダーバッグ
Clothing, Shoes & Jewelry	Tote Bags	バッグ・財布・ファッション小物	トートバッグ
Clothing, Shoes & Jewelry	Crossbody Bags	バッグ・財布・ファッション小物	ショルダーバッグ
Clothing, Shoes & Jewelry	Backpacks	バッグ・財布・ファッション小物	リュック・バックパック
Clothing, Shoes & Jewelry	Wallets	バッグ・財布・ファッション小物	財布
Clothing, Shoes & Jewelry	Clutches	バッグ・財布・ファッション小物	クラッチバッグ
Clothing, Shoes & Jewelry	Belts	バッグ・財布・ファッション小物	ベルト
Clothing, Shoes & Jewelry	Scarves	バッグ・財布・ファッション小物	マフラー・スカーフ
Clothing, Shoes & Jewelry	Hats & Caps	バッグ・財布・ファッション小物	帽子
Clothing, Shoes & Jewelry	Sunglasses	バッグ・財布・ファッション小物	サングラス
Clothing, Shoes & Jewelry	Gloves	バッグ・財布・ファッション小物	手袋
Clothing, Shoes & Jewelry	Umbrellas	日用品・文房具・手芸用品	傘・レインコート
